country,state,sales,profit
Indonesia,Jawa Tengah,25359,784.2353999999999
Belgium,Namur,5012,791.7
Kenya,Coast,4234,794.28
Djibouti,Djibouti,2394,804.09
Poland,Lodz,3265,808.4399999999999
Georgia,Tbilisi,3265,810.42
Croatia,Grad Zagreb,3087,814.77
Morocco,Tadla-Azilal,2525,817.47
Italy,Trentino-Alto Adige,4170,825.8340000000001
United States,Idaho,4380,826.7231
United States,Kansas,2916,836.4435
Cuba,Artemisa,2372,836.74152
France,Auvergne,7407,839.4225
Iran,Sistan Va Baluchestan,3562,844.08
Mozambique,Nampula,2313,846.8399999999999
France,Lower Normandy,5303,856.3875
Romania,Timis,3851,864.99
Uruguay,Paysandú,3473,868.12
Japan,Hyogo,3597,874.62
Guatemala,Chimaltenango,5324,874.8482
Nepal,Central,3522,877.4399999999999
Russia,Kaliningrad,3256,882.4200000000001
India,Assam,5187,887.1
Democratic Republic of the Congo,Kasai-Oriental,4860,887.37
Brazil,Mato Grosso do Sul,3617,888.08016
France,Limousin,6965,900.1410000000001
Ecuador,Guayas,3741,903.52
Cuba,Sancti Spíritus,3437,909.3738
Iran,Gilan,5794,917.58
South Africa,Kwazulu-natal,5273,928.5
Chile,Biobio,2664,936.6534
Angola,Huambo,3051,945.42
Russia,Arkhangel'sk,2800,948.33
Ukraine,Zaporizhzhya,4749,955.38
France,Pays de la Loire,34357,956.184
Mexico,Chiapas,5563,956.39952
Sudan,Red Sea,3270,960.24
Mozambique,Sofala,3357,965.9699999999999
Cote d'Ivoire,Vallee Du Bandama,3260,967.86
Israel,Tel Aviv,6809,972.15
Estonia,Harjumaa,4095,976.62
Italy,Abruzzi,6726,977.76
Egypt,Aswan,3399,984.4200000000001
New Zealand,Manawatu-Wanganui,4183,993.66
Moldova,Chisinau,4511,996.45
Romania,Bacau,2949,998.85
Cuba,Matanzas,4720,1003.18512
Mexico,Tabasco,7898,1008.284
Colombia,Quindío,2293,1011.0
Mexico,Colima,6182,1013.16876
Tanzania,Kigoma,4827,1024.98
Liberia,Montserrado,3512,1033.05
Algeria,Saida,3525,1034.04
New Zealand,Marlborough,2849,1038.8400000000001
Angola,Benguela,6083,1042.8
Spain,Asturias,5353,1046.58
Malaysia,Selangor,3855,1055.07
Ukraine,Zhytomyr,4564,1058.52
United States,District of Columbia,2866,1059.5893
New Zealand,Southland,3009,1070.22
Iraq,Karbala',3325,1070.34
Israel,Southern,5344,1074.69
Iran,Kordestan,3842,1075.17
Morocco,Tanger-Tétouan,6335,1077.36
Japan,Mie,2999,1084.5
Japan,Ishikawa,3081,1089.75
Belgium,Hainaut,3664,1108.47
Martinique,Martinique,5968,1114.21104
Iraq,Al Qadisiyah,4183,1152.48
Malaysia,Pahang,5894,1156.56
United States,New Mexico,4779,1157.1161
Spain,Navarra,4607,1169.016
Niger,Niamey,4800,1173.45
Japan,Chiba,5421,1177.92
United States,Iowa,4577,1183.8119
Japan,Yamaguchi,6654,1194.33
Nicaragua,Masaya,4552,1197.2842
Poland,Pomerania,6559,1200.51
Iraq,Ninawa,4916,1201.29
Switzerland,Basel-Stadt,3780,1201.5
Ukraine,Vinnytsya,5656,1202.25
Russia,Astrakhan',5847,1210.08
Russia,Vladimir,2788,1231.41
Rwanda,Kigali,4756,1238.85
Ukraine,L'viv,4769,1239.33
Japan,Oita,7528,1242.42
Brazil,Amapá,5691,1248.62516
China,Hainan,4079,1260.093
Iraq,Maysan,3579,1268.1899999999998
Colombia,Norte de Santander,5098,1270.78232
Montenegro,Podgorica,4004,1286.76
New Zealand,Taranaki,5142,1287.09
Mozambique,Maputo,4075,1287.87
Switzerland,Lucerne,4538,1290.3
Iran,Mazandaran,6091,1294.74
Norway,Hordaland,6852,1301.67
Russia,Irkutsk,4847,1309.62
Iran,Kermanshah,4985,1313.31
Belarus,Brest,4402,1319.3700000000001
Russia,Voronezh,4579,1321.5
Saudi Arabia,Jizan,5385,1325.4300000000003
Colombia,Atlántico,7582,1328.20496
Senegal,Saint-Louis,3854,1329.72
Ukraine,Volyn,5361,1330.98
Spain,Balearic Islands,6530,1339.185
Libya,Misratah,3915,1356.42
Austria,Styria,4671,1358.1299999999999
China,Qinghai,5691,1367.0100000000002
Mexico,Nayarit,8047,1382.44968
Ecuador,Pichincha,7023,1386.17788
Jamaica,Saint Catherine,6762,1392.22584
India,Odisha,5279,1395.96
Czech Republic,Prague,5943,1396.4099999999999
Lesotho,Maseru,6712,1398.21
Germany,Saxony,19111,1438.629
Kyrgyzstan,Bishkek,4186,1438.8
Iran,Lorestan,9294,1442.43
China,Xinjiang Uygur,5559,1445.7
Colombia,Santander,5573,1450.5664
Egypt,Suhaj,4633,1463.91
Poland,Masovia,5779,1468.95
Iran,Qom,6131,1480.26
Germany,Mecklenburg-Vorpommern,12318,1482.366
Germany,Schleswig-Holstein,6279,1484.328
Qatar,Ad Dawhah,6050,1502.8799999999999
Germany,Saxony-Anhalt,8851,1503.138
Mongolia,Ulaanbaatar,6789,1506.42
Italy,Apulia,25413,1506.852
India,Uttarakhand,7753,1515.33
Saudi Arabia,Tabuk,5047,1518.3600000000001
Morocco,Marrakech-Tensift-El Haouz,7467,1539.72
El Salvador,La Libertad,6681,1541.07208
France,Picardy,10186,1541.8605
Mexico,Morelos,7518,1543.0675999999999
Iran,Esfahan,5072,1553.34
Hong Kong,Hong Kong,6148,1558.11
Iraq,Arbil,9230,1580.7
Iran,Tehran,6423,1582.35
Cuba,Cienfuegos,7426,1584.3328
France,Burgundy,6016,1595.565
Indonesia,Sulawesi Tengah,4203,1596.8385
El Salvador,Sonsonate,5718,1604.6184799999999
Italy,Piedmont,24950,1623.0749999999998
Cuba,Mayabeque,7073,1633.7531999999999
Indonesia,Jawa Timur,50365,1637.7054
Mali,Bamako,6741,1638.66
Iran,Hamadan,7182,1641.12
Austria,Upper Austria,6190,1643.97
Japan,Saitama,5210,1669.2
Brazil,Amazonas,6114,1671.95192
Guatemala,Huehuetenango,6596,1674.3990800000001
Mauritania,Nouakchott,4020,1675.9499999999998
Russia,Amur,3637,1677.8700000000001
Italy,Emilia-Romagna,27780,1698.354
Iran,Khuzestan,7755,1698.39
Poland,Lublin,5934,1701.9
United States,New Hampshire,7294,1706.5028
Bangladesh,Rajshahi,4987,1708.92
Spain,Murcia,10666,1711.548
Mexico,Durango,13667,1740.81816
United States,South Carolina,8483,1769.0566
Russia,Yaroslavl',5865,1779.9
Trinidad and Tobago,San Fernando,4916,1791.53544
Jordan,'Amman,7167,1797.99
Cuba,Ciego de Ávila,6386,1799.61872
Ukraine,Donetsk,8376,1809.06
China,Chongqing,10167,1815.96
Taiwan,Taipei City,7648,1818.6000000000001
Azerbaijan,Baki,5630,1831.05
United States,Montana,5589,1833.3285
France,Lorraine,11476,1838.5245
Ghana,Ashanti,6325,1854.42
Brazil,Goiás,8454,1871.33316
Democratic Republic of the Congo,Kasai-Occidental,6079,1880.3999999999999
Egypt,Al Gharbiyah,6085,1900.08
China,Shaanxi,8493,1910.949
Spain,Castile-La Mancha,8770,1932.09
Bulgaria,Sofiya-Grad,8108,1937.91
Hungary,Budapest,7471,1943.46
China,Guizhou,5493,1944.78
Sudan,Khartoum,9204,1953.33
Morocco,Fès-Boulemane,7028,1958.31
Kenya,Nairobi,7433,1961.25
Canada,Alberta,6548,1963.5900000000001
Mozambique,Cidade De Maputo,8221,1999.92
New Zealand,Hawke's Bay,9465,2004.51
Japan,Kanagawa,6253,2030.49
United States,Nebraska,7464,2037.0942
Cuba,Las Tunas,8921,2052.75732
Guatemala,Escuintla,8181,2068.11112
Italy,Sicily,24434,2075.154
Italy,Lazio,50409,2075.43
Malaysia,Negeri Sembilan,6334,2100.69
Cuba,Guantánamo,10944,2131.02356
France,Centre,10773,2133.0585
Nicaragua,Estelí,8455,2135.39532
Brazil,Paraíba,8934,2137.6528
Norway,Oslo,7805,2152.65
Russia,Bashkortostan,9728,2152.8
Belarus,Hrodna,5793,2168.31
United States,Louisiana,9219,2196.1023
Guatemala,Quezaltenango,7858,2196.82968
Barbados,Saint Michael,7175,2199.79392
Brazil,Federal District,12673,2214.77868
Mexico,San Luis Potosí,11969,2229.30084
United States,Vermont,8929,2244.9782999999998
Japan,Osaka,7578,2267.085
Austria,Tyrol,6866,2272.6800000000003
New Zealand,Northland,10458,2303.37
Mexico,Querétaro,12190,2303.6276
Zambia,Copperbelt,11611,2308.02
China,Yunnan,11113,2373.9
Mexico,Quintana Roo,9371,2400.17932
Algeria,Oran,7337,2413.7999999999997
Belgium,Limburg,8536,2434.95
Brazil,Pará,8726,2439.3392
Nicaragua,Chinandega,11882,2455.2144
Madagascar,Analamanga,9604,2505.99
Mexico,Yucatán,15083,2518.72592
Bangladesh,Chittagong,12145,2528.4
United States,Utah,11223,2546.5335
El Salvador,Santa Ana,10085,2582.67564
Algeria,Alger,9268,2633.28
France,Languedoc-Roussillon,19742,2647.1265
Brazil,Rio de Janeiro,17333,2648.32204
Ukraine,Poltava,8153,2678.34
China,Guangxi,10538,2687.04
Canada,British Columbia,9546,2695.47
Italy,Veneto,17540,2699.1
Mexico,Coahuila,23709,2710.3622
Ukraine,Kharkiv,11567,2748.33
India,West Bengal,16235,2751.72
Bangladesh,Khulna,11406,2782.17
France,Poitou-Charentes,17549,2786.6295
Cuba,Holguín,13220,2797.84676
Belgium,East Flanders,12401,2821.4700000000003
Cuba,Pinar del Río,13066,2841.55728
India,Jammu and Kashmir,7971,2844.24
Germany,Brandenburg,10541,2895.7019999999998
Austria,Carinthia,11105,2899.2
Germany,Thuringia,11923,2904.51
Spain,Castile and León,25885,2906.5950000000003
China,Shanxi,14954,2921.346
Canada,Quebec,10928,2961.42
South Africa,Eastern Cape,11231,2999.52
Mexico,Sonora,13998,3013.53744
Tanzania,Dar Es Salaam,11843,3029.616
India,Punjab,14008,3035.55
Russia,Dagestan,9523,3041.55
Malaysia,Sabah,14892,3052.32
Morocco,Meknès-Tafilalet,7755,3147.63
United States,Mississippi,10772,3172.9762
China,Inner Mongolia,13106,3189.69
China,Henan,21231,3241.101
China,Hebei,13675,3261.276
Belgium,Antwerp,14793,3310.74
Malaysia,Perak,9282,3312.18
United States,Nevada,16729,3316.7659000000003
Australia,Northern Territory,14468,3375.57
Switzerland,Zürich,11706,3393.48
United Kingdom,Wales,10869,3421.818
Finland,Uusimaa,17993,3432.66
France,Upper Normandy,22402,3451.8195
United States,Connecticut,13386,3511.4918
India,Telangana,15921,3512.61
Indonesia,Jawa Barat,91970,3515.5642
Ghana,Greater Accra,15555,3530.19
New Zealand,Bay of Plenty,11101,3592.83
Spain,Galicia,15174,3649.2450000000003
Cameroon,Centre,12154,3719.55
Iran,Fars,12004,3721.65
Iraq,Al Basrah,13260,3722.52
Poland,Silesia,13842,3735.24
New Zealand,Canterbury,17808,3739.02
Nicaragua,Matagalpa,16356,3756.6544400000002
Nicaragua,León,17110,3826.55264
Indonesia,Jakarta,94318,3826.9842
Ukraine,Dnipropetrovs'k,13904,3858.69
Mexico,Tamaulipas,23057,3907.95788
Cuba,Granma,16997,3970.81732
United States,Arkansas,11678,4008.6871
India,Jharkhand,12131,4025.16
China,Gansu,14272,4134.456
Angola,Luanda,14679,4157.91
Zambia,Lusaka,12764,4272.06
Japan,Tokyo,17472,4279.5
China,Beijing,32308,4296.974999999999
Colombia,Antioquia,15671,4308.19732
Germany,Bremen,19597,4334.031
Cuba,Villa Clara,13131,4350.65764
China,Tianjin,18699,4400.265
Afghanistan,Kabul,16951,4410.6900000000005
Chile,Santiago,19346,4446.417
New Zealand,Waikato,20617,4459.56
France,Alsace,29845,4476.195
Cambodia,Phnom Penh,17476,4476.54
Malaysia,Kuala Lumpur,17176,4542.93
Italy,Tuscany,30573,4563.834
Mexico,Baja California,27014,4584.78396
India,Andhra Pradesh,19185,4586.73
Egypt,Al Iskandariyah,19900,4591.17
Mexico,Nuevo León,41069,4675.639999999999
Russia,Chelyabinsk,17884,4678.05
Mexico,Veracruz,24040,4686.4872
Cote d'Ivoire,Lagunes,16189,4696.8
India,Kerala,20697,4773.96
Mexico,Michoacán,24678,4842.85996
United States,Oklahoma,19686,4853.956
Iran,Razavi Khorasan,16469,4899.99
Cuba,Camagüey,16108,4944.76268
Brazil,Rio Grande do Sul,20846,4995.4338
China,Fujian,20525,5079.57
Colombia,Bogota,21112,5187.36976
Mexico,Sinaloa,22477,5261.94212
China,Zhejiang,26956,5334.0960000000005
Mexico,Puebla,35022,5553.3344
Japan,Shizuoka,14593,5557.71
India,Delhi,31025,5568.72
Senegal,Dakar,22274,5630.85
Morocco,Rabat-Salé-Zemmour-Zaer,19401,5659.53
Spain,Catalonia,49177,5699.598
China,Jilin,19040,5715.24
China,Hunan,20404,5724.42
South Africa,Western Cape,23808,5742.54
Saudi Arabia,Makkah,25632,5767.71
United States,Alabama,19511,5786.8253
France,Brittany,27633,5837.466
India,Bihar,28614,6139.08
France,Aquitaine,41133,6147.7755
Mexico,Guanajuato,36896,6170.77428
Mexico,Jalisco,43299,6188.32556
Spain,Basque Country,24222,6190.902
Mexico,Chihuahua,33287,6227.24784
Spain,Valenciana,30725,6228.507
India,Madhya Pradesh,27072,6268.02
Germany,Rhineland-Palatinate,25554,6340.497
France,Nord-Pas-de-Calais,54994,6348.5145
Mexico,México,34592,6357.80236
India,Chhattisgarh,22797,6408.87
United States,Missouri,22207,6436.2105
Brazil,Parana,23440,6439.53276
India,Haryana,24654,6565.32
Germany,Hesse,31314,6579.306
United States,Massachusetts,28639,6785.5016
Germany,Berlin,61918,6872.1285
United States,Maryland,23707,7031.1788
Democratic Republic of the Congo,Katanga,25335,7037.55
India,Rajasthan,30994,7041.030000000001
Spain,Andalusía,35336,7112.187
Morocco,Grand Casablanca,30698,7118.13
United States,Rhode Island,22629,7285.6293
Cuba,Santiago de Cuba,32456,7301.86776
Iraq,Baghdad,28875,7363.92
China,Sichuan,36530,7982.64
India,Gujarat,29293,8090.76
United States,Wisconsin,32125,8401.8004
China,Liaoning,41387,8514.228
Egypt,Al Qahirah,38436,8528.1
China,Shanghai,31276,8533.632
United Kingdom,Scotland,32535,8570.601
Saudi Arabia,Ar Riyad,33031,8689.14
China,Anhui,34108,8742.33
China,Heilongjiang,42028,8833.053
Singapore,Singapore,40285,8853.06
Canada,Ontario,35451,9079.5
India,Karnataka,31805,9290.34
Germany,Baden-Württemberg,46982,9743.0505
United States,New Jersey,35763,9772.9138
New Zealand,Wellington,36690,9796.17
Democratic Republic of the Congo,Kinshasa,42533,9976.26
United States,Delaware,27453,9977.3748
India,Tamil Nadu,51915,9992.4
Germany,Hamburg,40431,10379.373
United States,Minnesota,29865,10823.187399999999
Germany,Bavaria,58872,10869.0675
United States,Kentucky,36598,11199.6966
South Africa,Gauteng,51608,11200.92
China,Jiangsu,55335,11243.454
Australia,South Australia,75552,11351.802
Bangladesh,Dhaka,48402,12286.81
China,Shandong,57395,13956.981
France,Rhône-Alpes,76548,14245.704
Australia,Western Australia,111084,14249.778
Spain,Madrid,64381,14687.172
Australia,Victoria,151788,14929.08
Austria,Vienna,62026,15660.84
India,Maharashtra,101325,16105.755
United States,Georgia,49103,16250.043300000001
France,Provence-Alpes-Côte d'Azur,114368,16858.0515
India,Uttar Pradesh,76298,17041.29
United States,Indiana,53549,18382.9363
United States,Virginia,70641,18597.9504
Nicaragua,Managua,88974,19534.06644
China,Guangdong,96096,19668.96
Mexico,Distrito Federal,128428,20081.63188
Guatemala,Guatemala,103650,21130.49868
Australia,Queensland,238311,21608.754
Brazil,São Paulo,98418,21878.02388
United States,Michigan,76281,24463.1876
United States,Washington,138656,33402.6517
El Salvador,San Salvador,153648,35883.377
Germany,North Rhine-Westphalia,216458,42347.871
Australia,New South Wales,270509,43695.984000000004
France,Ile-de-France,317818,44055.924
United States,New York,310914,74038.5486
United States,California,457731,76381.3871
United Kingdom,England,485166,99907.731
